V,I
1.45,0.000119
1.4,8.7e-05
1.35,5.5e-05
1.3,1.6e-05
1.25,-1.6e-05
1.2,-4.3e-05
1.15,-6.7e-05
1.1,-9.2e-05
1.05,-0.000111
1.0,-0.000126
0.95,-0.000143
0.9,-0.00016
0.85,-0.000185
0.8,-0.000219
0.75,-0.00025
0.7,-0.00028
0.65,-0.000321
0.6,-0.000353
0.55,-0.00038
0.5,-0.000404
0.45,-0.000422
0.4,-0.000422
0.35,-0.000419
0.3,-0.000395
0.25,-0.000373
0.2,-0.000302
0.15,-0.000275
0.1,-0.000241
0.05,-0.000233
0.0,-0.000221
-0.05,-0.000211
-0.1,-0.000204
-0.15,-0.000202
-0.2,-0.000192
-0.25,-0.000187
-0.3,-0.000189
-0.35,-0.000185
-0.4,-0.000185
-0.45,-0.000187
-0.5,-0.000187
-0.55,-0.000185
-0.6,-0.000192
-0.65,-0.000192
-0.7,-0.000189
-0.75,-0.000197
-0.8,-0.000197
-0.85,-0.000202
-0.9,-0.000209
-0.95,-0.000211
-1.0,-0.000214
-1.05,-0.000221
-1.1,-0.000231
-1.15,-0.000236
-1.2,-0.000243
-1.25,-0.000258
-1.3,-0.000253
-1.35,-0.000272
-1.4,-0.000282
-1.45,-0.000282
-1.5,-0.00029
-1.55,-0.000302
-1.6,-0.000307
-1.65,-0.000312
-1.7,-0.000326
-1.75,-0.000336
-1.8,-0.000343
-1.85,-0.000365
-1.9,-0.000365
-1.95,-0.000378
-2.0,-0.000404
-2.05,-0.000426
-2.1,-0.000439
-2.15,-0.000475
-2.2,-0.00051
-2.25,-0.000546
-2.3,-0.000576
-2.35,-0.000617
-2.4,-0.000651
-2.45,-0.000654
-2.5,-0.000666
